"State","Total"
"Alabama","0"
"Alaska","0"
"Arkansas","241684"
"Arizona","388905"
"California","5093259"
"Colorado","403529"
"Connecticut","140851"
"District of Columbia","3067"
"Delaware","0"
"Florida","1739378"
"Georgia","1147733"
"Guam","0"
"Hawaii","0"
"Iowa","101522"
"Idaho","17896"
"Illinois","1120581"
"Indiana","356968"
"Kansas","0"
"Kentucky","4555"
"Louisiana","0"
"Massachusetts","303834"
"Maryland","157250"
"Maine","69664"
"Michigan","0"
"Minnesota","34101"
"Missouri","25927"
"Mississippi","0"
"Montana","11066"
"Nebraska","4777"
"New Hampshire","0"
"New Jersey","698515"
"New Mexico","56569"
"New York","597782"
"Nevada","1056625"
"North Carolina","933832"
"North Dakota","0"
"Ohio","74046"
"Oklahoma","13696"
"Oregon","233098"
"Pennsylvania","300736"
"Puerto Rico","44821"
"Rhode Island","78099"
"South Carolina","0"
"South Dakota","0"
"Tennessee","0"
"Texas","4305215"
"US Minor Outlying Islands","0"
"Utah","143186"
"Vermont","20224"
"Virginia","764657"
"Virgin Islands","0"
"Washington","218899"
"Wisconsin","124069"
"West Virginia","0"
"Wyoming","0"
